sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0.17,0.7298,0.721095035938102,0.738504964061899,1.42563186954749,1.53899186256781,0.557213930348259,0.65948275862069,0.642097057814376,CTLA4
10000,402,1,1,0.18,0.7143,0.705444403378989,0.723155596621011,1.41930563158992,1.53899186256781,0.557213930348259,0.65948275862069,0.641074369531652,CTLA4
10000,402,1,1,0.19,0.7051,0.696161078482545,0.714038921517455,1.41301534195656,1.53899186256781,0.557213930348259,0.65948275862069,0.640051681248928,CTLA4
10000,402,1,1,0.2,0.6782,0.669042133816691,0.687357866183309,1.40676069510547,1.53899186256781,0.557213930348259,0.65948275862069,0.639028992966203,CTLA4
10000,402,1,1,0.21,0.6818,0.672669365322419,0.690930634677581,1.40054138894749,1.53899186256781,0.557213930348259,0.65948275862069,0.638006304683479,CTLA4
10000,402,1,1,0.22,0.6644,0.655143470946367,0.673656529053633,1.39435712479765,1.53899186256781,0.557213930348259,0.65948275862069,0.636983616400755,CTLA4
10000,402,1,1,0.23,0.653,0.643668666556696,0.662331333443304,1.38820760732734,1.53899186256781,0.557213930348259,0.65948275862069,0.635960928118031,CTLA4
10000,402,1,1,0.24,0.6435,0.634110846843762,0.652889153156238,1.38209254451729,1.53899186256781,0.557213930348259,0.65948275862069,0.634938239835306,CTLA4
10000,402,1,1,0.25,0.6326,0.623149461615098,0.642050538384902,1.37601164761138,1.53899186256781,0.557213930348259,0.65948275862069,0.633915551552582,CTLA4
10000,402,1,1,0.26,0.6206,0.61108788856272,0.63011211143728,1.36996463107111,1.53899186256781,0.557213930348259,0.65948275862069,0.632892863269858,CTLA4
10000,402,1,1,0.27,0.6138,0.604255746686488,0.623344253313512,1.36395121253102,1.53899186256781,0.557213930348259,0.65948275862069,0.631870174987133,CTLA4
10000,402,1,1,0.28,0.5953,0.585678186734775,0.604921813265225,1.35797111275463,1.53899186256781,0.557213930348259,0.65948275862069,0.630847486704409,CTLA4
10000,402,1,1,0.29,0.5881,0.578451854010444,0.597748145989556,1.35202405559127,1.53899186256781,0.557213930348259,0.65948275862069,0.629824798421685,CTLA4
10000,402,1,1,0.3,0.5716,0.561899520063079,0.581300479936921,1.34610976793358,1.53899186256781,0.557213930348259,0.65948275862069,0.62880211013896,CTLA4
10000,402,1,1,0.31,0.5597,0.549968621228114,0.569431378771887,1.34022797967568,1.53899186256781,0.557213930348259,0.65948275862069,0.627779421856236,CTLA4
10000,402,1,1,0.32,0.5486,0.538844914961664,0.558355085038336,1.33437842367204,1.53899186256781,0.557213930348259,0.65948275862069,0.626756733573512,CTLA4
10000,402,1,1,0.33,0.5428,0.533034479163822,0.552565520836178,1.32856083569706,1.53899186256781,0.557213930348259,0.65948275862069,0.625734045290787,CTLA4
10000,402,1,1,0.34,0.5263,0.516512072180673,0.536087927819327,1.32277495440528,1.53899186256781,0.557213930348259,0.65948275862069,0.624711357008063,CTLA4
10000,402,1,1,0.35,0.5206,0.510806825853983,0.530393174146017,1.31702052129223,1.53899186256781,0.557213930348259,0.65948275862069,0.623688668725339,CTLA4
10000,402,1,1,0.36,0.5041,0.494298833126669,0.513901166873331,1.31129728065595,1.53899186256781,0.557213930348259,0.65948275862069,0.622665980442615,CTLA4
10000,402,1,1,0.37,0.4846,0.474803153743686,0.494396846256314,1.30560497955908,1.53899186256781,0.557213930348259,0.65948275862069,0.62164329215989,CTLA4
10000,402,1,1,0.38,0.4758,0.466009990622737,0.485590009377263,1.29994336779164,1.53899186256781,0.557213930348259,0.65948275862069,0.620620603877166,CTLA4
