sim,n_control,n_cfs,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,305,1,1,0.75,0.0528,0.0484161045668895,0.0571838954331105,0.985268157691913,1.53899186256781,0.557213930348259,0.632004658168884,0.5535491097477,CTLA4
10000,201,305,1,1,0.76,0.0531,0.048704364223926,0.057495635776074,0.981107417516475,1.53899186256781,0.557213930348259,0.632004658168884,0.552503035768751,CTLA4
10000,201,305,1,1,0.77,0.0513,0.0469754042868271,0.0556245957131729,0.976966084361812,1.53899186256781,0.557213930348259,0.632004658168884,0.551456961789802,CTLA4
10000,201,305,1,1,0.78,0.0513,0.0469754042868271,0.0556245957131729,0.972844022763039,1.53899186256781,0.557213930348259,0.632004658168884,0.550410887810853,CTLA4
10000,201,305,1,1,0.79,0.0602,0.0555372906279485,0.0648627093720515,0.968741098513103,1.53899186256781,0.557213930348259,0.632004658168884,0.549364813831904,CTLA4
10000,201,305,1,1,0.8,0.0526,0.0482239533515879,0.0569760466484121,0.964657178648224,1.53899186256781,0.557213930348259,0.632004658168884,0.548318739852955,CTLA4
10000,201,305,1,1,0.81,0.0541,0.0496655105509702,0.0585344894490298,0.960592131433528,1.53899186256781,0.557213930348259,0.632004658168884,0.547272665874006,CTLA4
10000,201,305,1,1,0.82,0.057,0.0524551908059647,0.0615448091940353,0.956545826348886,1.53899186256781,0.557213930348259,0.632004658168884,0.546226591895057,CTLA4
10000,201,305,1,1,0.83,0.0597,0.0550554593929629,0.0643445406070371,0.952518134074937,1.53899186256781,0.557213930348259,0.632004658168884,0.545180517916108,CTLA4
10000,201,305,1,1,0.84,0.0589,0.0542847214795296,0.0635152785204704,0.948508926479318,1.53899186256781,0.557213930348259,0.632004658168884,0.544134443937158,CTLA4
10000,201,305,1,1,0.85,0.0628,0.0580442573819094,0.0675557426180906,0.944518076603076,1.53899186256781,0.557213930348259,0.632004658168884,0.543088369958209,CTLA4
